L,g_int,g_mass,g,energy,mag_energy,el_energy,int_energy,mass_energy
2,1,1,0.1,-3.201937892,0.001879016,0.796122144,-5.333264571,1.3333255199438185
2,1,1,0.2,-2.415104903,0.014299711249059488,1.569653777326401,-5.332251725,1.3331933337931698
2,1,1,0.30000000000000004,-1.650122542,0.046860453435949204,2.2981527297827213,-5.327615425,1.3324797003233328
2,1,1,0.4,-0.918383019,0.11120767660649955,2.9538381848263344,-5.313278724,1.3298498442530187
2,1,1,0.5,-0.234651675,0.2267398666131779,3.4926076247376088,-5.275674321,1.3216751544666108
2,1,1,0.6,0.3786632111706467,0.42968942657069187,3.8352240686954873,-5.184966971,1.2987166869581102
2,1,1,0.7000000000000001,0.8862468260729202,0.7763672278840655,3.85299323,-4.984347237,1.2412336052612074
2,1,1,0.8,1.2430559440086881,1.2890854183190714,3.4442339325414757,-4.616277914,1.126014507297946
2,1,1,0.9,1.425960714684038,1.8349416865103378,2.756590196,-4.131406085,0.9658349174793887
2,1,1,1,1.4666773454658824,2.2188155167789403,2.115265849319419,-3.679983257,0.8125792368541558
2,1,1,1.1,1.4241200521978499,2.4022577903498754,1.6633010988873635,-3.336059594,0.6946207566806363
2,1,1,1.2000000000000002,1.3436532943958923,2.449086826689706,1.3721771652597996,-3.086636308,0.6090256104366982
2,1,1,1.3000000000000003,1.2502773017824325,2.421072111322484,1.184658588448962,-2.901146083,0.5456926849504794
2,1,1,1.4000000000000001,1.1560240419805154,2.355865176717123,1.0600404478359964,-2.756706086,0.49682450355210195
2,1,1,1.5000000000000002,1.0662504896382075,2.2738553145291744,0.9739356577053072,-2.639058225,0.457517743
2,1,1,1.6,0.9830754693226709,2.1857716512194507,0.9120856918724258,-2.539571688,0.42478981375513175
2,1,1,1.7000000000000002,0.9070755746883492,2.097213466735783,0.8660005332444306,-2.452932519,0.39679409407449945
2,1,1,1.8000000000000003,0.8381090388271559,2.011055933820512,0.8304707417174853,-2.375765372,0.3723477354711716
2,1,1,1.9000000000000001,0.7757186274124024,1.9287081594153836,0.802197978,-2.305851044,0.350663534
2,1,1,2,0.7193298489024755,1.8507803348191407,0.7790322383675878,-2.241680082,0.33119735763370534
2,1,1,2.1,0.6683478074251639,1.7774452762998048,0.7595354059258245,-2.182192281,0.3135594066182572
2,1,1,2.2,0.62220299,1.7086385421603705,0.7427236793762145,-2.126620356,0.2974611244637983
2,1,1,2.3000000000000003,0.5803710570712042,1.6441711153406893,0.727910858,-2.074393393,0.2826824767415024
2,1,1,2.4000000000000004,0.5423794141448184,1.5837935606974034,0.7146102334135273,-2.025075572,0.2690511923495228
2,1,1,2.5000000000000004,0.5078071914971929,1.5272326670456926,0.702471557,-1.978326256,0.2564292239780567
2,1,1,2.6,0.4762821069136862,1.4742122105971676,0.6912395887667462,-1.933873376,0.2447036838569669
2,1,1,2.7,0.44747603523990165,1.424464434786818,0.6807262696947937,-1.891495294,0.2337806247264556
2,1,1,2.8000000000000003,0.42110023141725605,1.3777360598177726,0.6707916848204519,-1.851008186,0.2235806731782949
2,1,1,2.9000000000000004,0.3969006822280221,1.3337910642169617,0.6613308315903825,-1.81225711,0.21403589614622914
2,0.5,1,0.1,-0.6660764,0.00195053,0.79604511,-2.3093603,0.84528825
